paid,studytime,failures,absences,Medu,Fedu,G3
no,2,0,2,4,4,14
no,1,0,0,3,3,13
no,2,1,20,1,3,8
no,1,0,6,3,4,13
no,2,0,2,1,2,15
yes,4,0,6,2,2,15
yes,2,0,2,2,4,13
no,1,0,18,4,4,13
yes,2,0,0,2,2,8
no,1,0,0,3,4,12
no,2,0,0,3,4,11
no,2,3,2,0,1,9
no,1,2,0,2,2,0
yes,1,0,8,4,4,18
no,3,2,0,3,4,0
no,1,0,0,1,1,0
no,1,0,12,2,2,12
no,1,0,16,3,4,11
no,2,0,0,3,4,0
no,3,0,0,4,4,0
no,2,0,0,3,4,0
no,1,2,0,3,3,0
no,2,1,0,1,1,12
no,1,0,0,4,4,15
no,4,0,0,4,3,0
no,1,2,8,2,2,9
yes,3,0,2,4,4,11
no,1,0,2,1,1,13
no,1,3,0,2,1,0
yes,2,0,0,1,1,11
no,2,3,0,3,2,0
yes,2,0,2,1,2,11
no,1,0,0,4,4,0
no,1,3,0,2,1,10
no,1,3,0,1,1,0
no,1,1,6,2,1,14
yes,3,2,8,3,3,10
no,1,3,0,3,2,0
no,1,0,0,4,4,12
yes,2,0,2,2,3,8
no,1,0,8,1,2,13
no,1,3,6,1,1,10
no,1,0,2,2,2,15
yes,2,1,4,3,3,12
no,1,2,0,2,1,0
no,2,2,6,3,2,7
no,1,1,0,1,2,0
no,1,0,2,1,3,10
no,2,3,0,1,1,7
no,1,1,16,3,2,12
no,2,0,4,2,2,10
yes,2,0,0,4,2,16
yes,2,0,0,2,2,0
yes,2,0,0,4,4,14
no,1,2,0,3,4,0
yes,2,0,2,1,0,16
yes,2,0,0,4,4,10
no,2,3,0,1,3,0
yes,2,0,4,3,3,9
yes,2,0,4,4,3,9
yes,2,0,2,2,2,11
no,2,0,4,3,3,6
no,1,0,10,4,2,9
no,2,0,4,4,3,11
yes,2,0,10,4,3,8
yes,2,0,2,3,3,12
no,2,0,0,2,4,17
no,2,0,56,3,3,8
yes,2,0,14,3,2,12
no,2,0,12,3,3,11
yes,1,0,2,1,2,11
yes,2,0,0,2,1,15
no,2,0,6,3,3,9
no,2,0,4,1,2,10
no,2,0,10,2,3,13
no,2,0,0,1,1,9
yes,2,0,12,1,2,8
no,1,0,8,3,3,10
no,1,0,0,2,3,14
no,2,0,0,2,4,15
no,1,0,4,4,4,16
yes,1,0,8,3,3,10
no,1,1,24,4,4,18
yes,2,0,0,4,4,10
no,2,0,2,4,3,16
yes,2,0,6,2,3,10
yes,2,0,4,1,1,10
no,1,0,18,2,2,6
yes,4,0,6,2,2,11
yes,3,1,28,3,4,9
yes,2,3,5,3,1,7
yes,2,0,10,4,3,13
yes,1,0,6,1,1,10
yes,3,0,6,4,3,7
yes,4,0,10,3,3,8
yes,2,0,13,4,4,13
yes,2,0,0,2,2,14
yes,2,1,15,2,2,8
yes,1,0,12,4,4,10
yes,2,0,2,3,2,15
yes,2,2,22,4,3,4
yes,2,1,13,3,3,8
yes,1,0,3,2,3,8
yes,3,0,4,2,2,10
no,2,0,2,2,1,6
no,3,1,0,1,1,0
no,2,0,2,2,3,17
yes,2,0,0,2,2,13
no,3,0,0,4,4,14
no,2,1,16,3,1,7
no,2,0,10,3,2,15
yes,2,0,2,2,3,12
yes,2,0,14,2,1,9
no,3,0,10,2,1,12
no,2,0,14,4,3,14
yes,2,0,4,2,2,11
no,2,0,14,4,4,9
yes,2,0,2,4,4,13
yes,2,0,18,1,1,6
no,3,0,10,3,2,10
yes,2,0,4,2,2,13
no,1,0,20,2,1,12
no,2,0,2,2,1,11
no,2,1,0,2,2,0
no,2,0,14,4,3,12
yes,2,0,2,4,4,12
no,1,0,0,4,3,0
no,1,0,0,4,4,12
yes,3,0,0,2,1,0
no,1,0,6,2,1,18
no,1,0,4,2,3,13
no,1,3,16,3,1,8
no,2,1,8,3,3,5
yes,1,0,0,0,2,15
no,1,1,0,3,2,8
no,2,0,6,3,3,10
no,1,1,4,2,1,8
no,1,0,0,2,1,8
no,1,0,0,2,1,12
no,1,1,2,1,1,8
yes,4,0,6,4,2,13
no,2,0,12,4,3,11
no,2,0,8,2,1,14
yes,4,0,0,2,2,0
yes,2,0,21,4,3,18
yes,2,0,2,4,3,8
no,3,0,1,3,2,12
no,3,0,4,3,3,9
yes,3,0,0,2,2,0
yes,2,0,13,3,4,17
yes,2,0,2,3,1,10
yes,2,0,8,4,4,11
yes,2,0,10,4,2,10
no,2,0,0,2,1,0
yes,2,2,15,3,3,9
yes,4,0,4,2,3,14
yes,2,0,2,1,1,11
yes,2,0,2,1,2,14
yes,2,0,2,2,4,10
yes,2,0,6,2,2,12
no,2,0,75,3,2,9
yes,1,0,22,4,4,9
no,2,1,15,4,4,8
yes,1,0,8,4,3,10
yes,1,0,30,4,1,8
no,1,1,19,3,2,10
yes,4,0,1,1,1,12
no,2,0,4,1,1,10
no,2,0,4,2,2,11
yes,2,0,2,1,1,11
yes,3,0,5,2,2,19
yes,3,0,6,1,1,12
yes,3,0,6,2,1,14
yes,2,0,9,4,4,15
yes,2,0,11,4,2,11
yes,3,0,0,4,3,15
no,2,1,12,2,1,13
yes,4,0,6,3,1,18
yes,3,0,8,3,2,14
yes,1,0,4,3,3,11
yes,2,0,0,4,4,0
yes,2,0,10,4,3,8
yes,4,0,0,4,3,14
yes,1,0,5,4,4,16
no,2,0,14,4,4,11
yes,1,0,0,4,4,10
yes,3,0,0,4,2,14
yes,4,0,0,3,2,18
no,2,1,20,3,3,13
yes,2,1,8,2,4,12
no,1,0,0,3,2,18
yes,1,1,38,4,4,8
no,2,1,0,3,3,12
no,2,1,18,1,1,10
no,2,1,0,1,2,0
no,2,0,20,2,1,13
no,2,1,3,1,2,11
yes,2,1,22,3,2,11
no,3,2,14,1,1,13
no,3,1,40,2,3,11
yes,2,0,0,2,1,0
yes,3,0,9,4,3,9
yes,3,0,0,3,4,10
yes,2,0,2,4,4,11
yes,2,0,23,4,3,13
no,2,0,12,2,2,9
yes,3,0,3,2,2,11
no,3,0,1,3,1,15
no,3,0,0,0,2,15
no,3,0,3,4,4,11
no,1,0,3,3,3,16
no,1,0,8,2,2,10
yes,3,0,7,4,4,9
yes,3,0,4,4,4,14
no,4,0,2,2,2,8
no,3,0,7,2,4,14
no,2,0,0,3,3,0
no,2,0,0,2,2,0
no,4,0,0,2,2,0
no,3,0,16,3,4,15
yes,3,1,12,3,1,13
yes,2,0,0,3,2,0
no,4,0,7,3,3,17
yes,2,0,4,3,2,10
yes,3,1,4,2,1,11
no,2,1,0,4,4,0
no,2,0,11,3,4,15
no,2,1,0,2,2,0
no,3,0,4,2,3,10
no,3,0,7,3,2,14
no,3,0,9,4,3,16
yes,3,0,0,4,3,9
yes,3,0,0,4,3,15
no,1,1,10,3,2,13
no,2,3,8,1,1,8
yes,2,0,2,3,3,13
no,1,1,7,1,3,8
no,1,1,4,1,1,8
yes,2,0,4,4,3,11
no,2,0,0,3,3,9
yes,2,0,4,4,4,13
no,2,0,2,3,2,11
no,1,0,4,1,1,10
no,3,0,0,1,1,16
no,2,0,0,1,4,13
no,2,1,2,1,1,12
no,2,0,0,3,3,10
yes,2,0,0,4,4,15
no,2,0,0,1,2,12
yes,2,0,4,1,3,10
yes,3,0,0,4,4,13
yes,1,1,0,1,1,0
yes,1,0,0,2,3,10
yes,2,0,10,4,4,11
no,2,2,4,3,2,9
yes,1,0,3,1,2,12
no,3,0,8,2,2,11
no,1,0,14,1,2,5
no,3,0,0,4,4,19
no,3,0,2,1,1,10
yes,3,2,4,4,2,15
yes,2,0,4,4,4,10
yes,2,0,0,3,3,15
yes,2,0,17,3,1,10
yes,2,0,4,4,4,14
no,1,0,5,2,1,7
no,2,0,2,2,3,10
no,1,1,0,1,1,0
yes,1,1,14,4,2,5
yes,3,0,2,2,2,10
yes,1,0,7,4,4,6
no,3,1,0,2,3,0
yes,2,0,0,3,1,8
no,2,1,0,1,1,0
yes,2,2,11,2,2,9
no,1,0,3,3,1,16
no,1,3,3,1,1,7
no,1,0,0,3,2,10
no,1,0,5,1,1,9
